,momentum,tree,nquad,vegas
0,0.0001,600.4813485978237,,-0.000185+/-0.000004
1,0.00011497569953977356,687.0320925665072,,-0.000279+/-0.000006
2,0.00013219411484660288,786.0538143586462,,-0.000429+/-0.000009
3,0.0001519911082952933,899.3414294325187,,-0.000657+/-0.000014
4,0.0001747528400007683,1028.9471956542552,,-0.000986+/-0.000022
5,0.00020092330025650479,1177.217115902388,,-0.001556+/-0.000034
6,0.00023101297000831605,1346.832244416196,,-0.00229+/-0.00005
7,0.00026560877829466864,1540.8554335476401,,-0.00337+/-0.00007
8,0.0003053855508833416,1762.784050750408,,-0.00504+/-0.00011
9,0.0003511191734215131,2016.6091463333737,,-0.00777+/-0.00017
10,0.0004037017258596554,2306.8814343072777,,-0.01150+/-0.00025
11,0.0004641588833612782,2638.7842215978776,,-0.0180+/-0.0004
12,0.0005336699231206312,3018.213025017504,,-0.0272+/-0.0006
13,0.0006135907273413176,3451.8609614335373,,-0.0399+/-0.0009
14,0.0007054802310718645,3947.307952914971,,-0.0629+/-0.0013
15,0.0008111308307896872,4513.110163182355,,-0.0948+/-0.0020
16,0.0009326033468832199,5158.883597843296,,-0.1408+/-0.0031
17,0.0010722672220103231,5895.37206750369,,-0.214+/-0.005
18,0.0012328467394420659,6734.484190454774,,-0.319+/-0.007
19,0.0014174741629268048,7689.276083443022,,-0.478+/-0.010
20,0.0016297508346206436,8773.844957079627,,-0.734+/-0.016
21,0.001873817422860383,10003.082983770888,,-1.087+/-0.023
22,0.0021544346900318843,11392.219636842976,,-1.67+/-0.04
23,0.0024770763559917113,12956.05395705826,,-2.47+/-0.06
24,0.002848035868435802,14707.747407075123,,-3.57+/-0.08
25,0.0032745491628777285,16657.018489757247,,-5.62+/-0.12
26,0.0037649358067924675,18807.564737325345,,-8.11+/-0.18
27,0.004328761281083062,21153.560584973577,,-11.64+/-0.27
28,0.004977023564332114,23675.182195182148,,-17.9+/-0.4
29,0.00572236765935022,26333.35024920568,,-25.1+/-0.6
30,0.006579332246575682,29064.318462255396,,-38.1+/-0.8
31,0.007564633275546291,31775.384548762137,,-53.9+/-1.2
32,0.008697490026177835,34343.745778568176,,-74.6+/-1.8
33,0.01,36621.01150329966,,-103.4+/-2.7
34,0.011497569953977356,38445.51540981367,,-143.3+/-3.5
35,0.013219411484660288,39662.735294105194,,-180+/-5
36,0.01519911082952933,40150.83180792359,,-239+/-6
37,0.01747528400007685,39844.798797917865,,-299+/-8
38,0.02009233002565048,38751.24865429881,,-363+/-11
39,0.023101297000831605,36948.196751827454,,-427+/-13
40,0.026560877829466867,34569.742791260476,,-475+/-16
41,0.030538555088334154,31781.207134198638,,-498+/-20
42,0.03511191734215131,28752.86323672843,,-559+/-25
43,0.040370172585965536,25639.05077304625,,-577+/-27
44,0.04641588833612782,22565.832841055595,,-490+/-31
45,0.05336699231206313,19626.862030956796,,(-4.1+/-0.4)e+02
46,0.061359072734131756,16885.13654287261,,(-2.5+/-0.4)e+02
47,0.07054802310718646,14377.924596748539,,(-1.9+/-0.4)e+02
48,0.08111308307896872,12122.678399282697,,(6+/-5)e+01
49,0.093260334688322,10122.586565789177,,(3.1+/-0.5)e+02
50,0.10722672220103231,8371.13523259727,,(5.9+/-0.6)e+02
51,0.12328467394420659,6855.533406757002,,(6.1+/-0.6)e+02
52,0.14174741629268048,5559.123655160199,,(1.00+/-0.07)e+03
53,0.16297508346206452,4463.008959584164,,(1.10+/-0.07)e+03
54,0.1873817422860385,3547.141465412117,,(1.38+/-0.07)e+03
55,0.21544346900318845,2791.0823519235605,,(1.58+/-0.07)e+03
56,0.24770763559917114,2174.582299506652,,(1.84+/-0.09)e+03
57,0.2848035868435802,1678.0680328011128,,(1.93+/-0.07)e+03
58,0.32745491628777285,1283.065836615224,,(1.87+/-0.07)e+03
59,0.37649358067924676,972.5565133114014,,(2.07+/-0.07)e+03
60,0.43287612810830617,731.2407626569698,,(1.95+/-0.07)e+03
61,0.49770235643321137,545.6961663067174,,(1.80+/-0.06)e+03
62,0.572236765935022,404.4194951896298,,(1.72+/-0.06)e+03
63,0.6579332246575682,297.76265673841135,,(1.66+/-0.06)e+03
64,0.7564633275546291,217.7808565184996,,(1.45+/-0.05)e+03
65,0.8697490026177834,158.01429065145751,,(1.33+/-0.05)e+03
66,1.0,113.22088149689242,,(1.12+/-0.04)e+03
67,1.1497569953977356,79.07941840319204,,(9.8+/-0.4)e+02
68,1.3219411484660286,51.95390622795659,,807+/-33
69,1.5199110829529332,29.18734943127544,,754+/-25
70,1.747528400007683,11.040157653604041,,669+/-15
71,2.009233002565046,1.6140904387389194,,499+/-5
72,2.310129700083158,0.0024089678297083196,,209.5+/-1.3
73,2.6560877829466896,0.0468971191928827,,59.8+/-0.8
74,3.0538555088334185,0.007579721051116127,,14.93+/-0.18
75,3.5111917342151346,0.00022581204652646816,,1.630+/-0.023
76,4.037017258596558,3.0181991818968174e-06,,0.1362+/-0.0013
77,4.641588833612782,2.6666723126378672e-06,,0.00773+/-0.00015
78,5.336699231206313,1.4294630287059192e-07,,0.000207+/-0.000004
79,6.135907273413176,5.190228191875866e-09,,(5.00+/-0.19)e-06
80,7.054802310718645,8.251901648241899e-11,,(1.80+/-0.04)e-07
81,8.111308307896872,2.2096859660081236e-12,,(5.8+/-1.0)e-10
82,9.326033468832199,2.1918512193078133e-14,,(6.6+/-1.1)e-12
83,10.722672220103231,2.879742517060973e-17,,(1.125+/-0.009)e-12
84,12.32846739442066,1.1767655509036163e-19,,(1.461+/-0.010)e-14
85,14.174741629268048,2.1331684745621354e-20,,(-3.85+/-0.19)e-17
86,16.297508346206435,3.441769734580591e-22,,(-2.27+/-0.04)e-18
87,18.73817422860383,1.693216820525515e-24,,(1.488+/-0.027)e-20
88,21.544346900318867,4.4590810713720016e-27,,(7.50+/-0.05)e-22
89,24.77076355991714,1.7005629497114371e-28,,(3.62+/-0.05)e-24
90,28.48035868435805,9.80881801832052e-31,,(-1.744+/-0.035)e-26
91,32.745491628777316,2.50805013529412e-32,,(1.996+/-0.022)e-26
92,37.649358067924716,3.500056827234478e-34,,(4.4+/-3.2)e-31
93,43.287612810830616,4.721736443728212e-35,,(1.227+/-0.012)e-29
94,49.770235643321136,9.084797512547056e-36,,(-6.11+/-0.09)e-31
95,57.223676593502205,4.441051060393358e-39,,(1.277+/-0.019)e-33
96,65.79332246575683,5.501570634302089e-39,,(-6.62+/-0.09)e-34
97,75.64633275546291,1.3048517220198778e-41,,(-9.8+/-0.5)e-37
98,86.97490026177834,3.558537440187619e-45,,(8.90+/-0.10)e-38
99,100.0,1.5089707713127092e-47,,(3.85+/-0.04)e-39
